2026-06-18 00:25:50 | INFO     | Loader | Extracted 51 pages from 12+Rules+to+Learn+to+Code+[2nd+Edition]+2022 (1).pdf
2026-06-18 00:25:50 | INFO     | Chunker | Split 51 documents into 78 chunks
2026-06-18 00:25:50 | INFO     | Pipeline | Creating embeddings for 78 chunks...
2026-06-18 00:25:50 | INFO     | Embeddings | Embedding 78 texts in batches of 10...
2026-06-18 00:26:13 | INFO     | Embeddings | Embedded 10/78 texts
2026-06-18 00:26:34 | INFO     | Embeddings | Embedded 20/78 texts
2026-06-18 00:26:56 | INFO     | Embeddings | Embedded 30/78 texts
2026-06-18 00:27:18 | INFO     | Embeddings | Embedded 40/78 texts
2026-06-18 00:27:40 | INFO     | Embeddings | Embedded 50/78 texts
2026-06-18 00:28:02 | INFO     | Embeddings | Embedded 60/78 texts
2026-06-18 00:28:23 | INFO     | Embeddings | Embedded 70/78 texts
2026-06-18 00:28:41 | INFO     | Embeddings | Embedded 78/78 texts
2026-06-18 00:28:41 | INFO     | Embeddings | Batch embedding complete: 78 vectors
2026-06-18 00:28:41 | INFO     | VectorStore | Stored 78/78 chunks
2026-06-18 00:28:41 | INFO     | VectorStore | ✅ Total stored: 78 chunks
2026-06-18 00:28:41 | INFO     | Pipeline | ✅ Indexed 12+Rules+to+Learn+to+Code+[2nd+Edition]+2022 (1).pdf: 78 chunks stored
2026-06-18 00:28:41 | INFO     | SessionManager | File tracked: 12+Rules+to+Learn+to+Code+[2nd+Edition]+2022 (1).pdf (78 chunks)
2026-06-18 00:28:41 | INFO     | SessionManager | Preference updated: streaming=True
2026-06-18 00:28:41 | INFO     | SessionManager | Preference updated: show_sources=True
2026-06-18 00:28:41 | INFO     | SessionManager | Preference updated: show_eval=True
2026-06-18 00:28:43 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:31:01 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:31:03 | INFO     | Embeddings | ✅ nomic-embed-text is available
2026-06-18 00:31:03 | INFO     | SessionManager | Preference updated: streaming=True
2026-06-18 00:31:03 | INFO     | SessionManager | Preference updated: show_sources=True
2026-06-18 00:31:03 | INFO     | SessionManager | Preference updated: show_eval=True
2026-06-18 00:31:03 | INFO     | Pipeline | ❓ Question: explain these 12 rules for coding in short...
2026-06-18 00:31:03 | INFO     | Retriever | Retrieving for: 'explain these 12 rules for coding in short...'
2026-06-18 00:31:07 | INFO     | VectorStore | Found 5 relevant chunks
2026-06-18 00:31:07 | INFO     | Retriever | Retrieved 5 relevant chunks (similarity >= 0.3)
2026-06-18 00:31:07 | INFO     | Retriever | Context prepared: 1239 chars from 5 chunks
2026-06-18 00:31:30 | INFO     | Retriever | Retrieving for: 'explain these 12 rules for coding in short...'
2026-06-18 00:31:32 | INFO     | VectorStore | Found 5 relevant chunks
2026-06-18 00:31:32 | INFO     | Retriever | Retrieved 5 relevant chunks (similarity >= 0.3)
2026-06-18 00:31:32 | INFO     | Evaluator | Evaluating response for: 'explain these 12 rules for coding in sho...'
2026-06-18 00:31:32 | INFO     | Evaluator | Evaluation complete: overall=0.537, grade=C  ⚠️
2026-06-18 00:31:32 | INFO     | SessionManager | Message #2 added to chat history
2026-06-18 00:31:34 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:31:37 | INFO     | Embeddings | ✅ nomic-embed-text is available
2026-06-18 00:31:37 | INFO     | SessionManager | Preference updated: streaming=True
2026-06-18 00:31:37 | INFO     | SessionManager | Preference updated: show_sources=True
2026-06-18 00:31:37 | INFO     | SessionManager | Preference updated: show_eval=True
2026-06-18 00:31:39 | INFO     | LLM | ✅ llama3.2:3b is available
